"probe_id"	"symbol"
"5544"	"10350816"	"Rpl35"
"5546"	"10350819"	"Csnk2a1"
"5549"	"10350823"	"Abl2"
"5563"	"10350838"	"Gm15428"
"5564"	"10350840"	"Angptl1"
"5569"	"10350846"	"---"
"5570"	"10350848"	"2810025M15Rik"
"5574"	"10350853"	"BC026585"
"5584"	"10350864"	"Sec16b"
"5613"	"10350894"	"Gm37713"
"5614"	"10350896"	"Astn1"
"5638"	"10350921"	"Mir488"
"5639"	"10350923"	"Rfwd2"
"5663"	"10350948"	"Gm31256"
"5665"	"10350951"	"Tnr"
"5688"	"10350975"	"Gm10530"
"5689"	"10350977"	"4930523C07Rik"
"5696"	"10350985"	"Mrps14"
"5700"	"10350990"	"Gm6177"
"5701"	"10350992"	"Rc3h1"
"5721"	"10351013"	"Rc3h1"
"5722"	"10351015"	"Serpinc1"
"5732"	"10351026"	"Gas5"
"5740"	"10351035"	"---"
"5741"	"10351037"	"---"
"5742"	"10351039"	"---"
"5743"	"10351041"	"---"
"5744"	"10351043"	"Snord47"
"5745"	"10351045"	"---"
"5746"	"10351047"	"Cenpl"
"5754"	"10351056"	"Ankrd45"
"5760"	"10351063"	"---"
"5761"	"10351065"	"Gm6185"
"5788"	"10351095"	"Tnfsf4"
"5791"	"10351099"	"Tnfsf18"
"5798"	"10351107"	"Pigc"
"5801"	"10351111"	"Dnm3os"
"5806"	"10351119"	"Vamp4"
"5817"	"10351131"	"Myoc"
"5821"	"10351138"	"Rpsa-ps1"
"5822"	"10351140"	"Kifap3"
"5844"	"10351163"	"Scyl3"
"5859"	"10351179"	"Mettl18"
"5861"	"10351182"	"Sele"
"5875"	"10351197"	"Sell"
"5882"	"10351206"	"Selp"
"5899"	"10351224"	"F5"
"5926"	"10351259"	"Slc19a2"
"5935"	"10351269"	"Ccdc181"
"5942"	"10351277"	"Nme7"
"5957"	"10351293"	"Dpt"
"5961"	"10351298"	"Gpr161"
"5966"	"10351304"	"Mpc2"
"5971"	"10351310"	"Adcy10"
"6005"	"10351345"	"Gm18186"
"6006"	"10351347"	"Creg1"
"6011"	"10351353"	"Cd247"
"6025"	"10351368"	"Gpa33"
"6036"	"10351380"	"Ildr2"
"6045"	"10351390"	"Tada1"
"6054"	"10351400"	"Fam78b"
"6057"	"10351404"	"Tmco1"
"6066"	"10351414"	"Aldh9a1"
"6081"	"10351430"	"Rxrg"
"6093"	"10351443"	"Lmx1a"
"6104"	"10351455"	"Rgs5"
"6111"	"10351463"	"Rgs5"
"6112"	"10351465"	"Ccdc190"
"6116"	"10351471"	"4930500M09Rik"
"6117"	"10351473"	"Sh2d1b2"
"6120"	"10351477"	"Sh2d1b1"
"6124"	"10351482"	"1700015E13Rik"
"6127"	"10351489"	"Gm7299"
"6128"	"10351491"	"Olfml2b"
"6136"	"10351500"	"Gm9929"
"6137"	"10351502"	"Gm26620"
"6138"	"10351504"	"Gm39701"
"6139"	"10351507"	"---"
"6140"	"10351509"	"Fcgr4"
"6144"	"10351515"	"Gm26110"
"6145"	"10351517"	"Cfap126"
"6152"	"10351525"	"Mpz"
"6159"	"10351533"	"Nr1i3"
"6171"	"10351546"	"Apoa2"
"6175"	"10351551"	"Adamts4"
"6186"	"10351563"	"B4galt3"
"6196"	"10351574"	"Dedd"
"6203"	"10351583"	"Pfdn2"
"6207"	"10351588"	"Pvrl4"
"6221"	"10351603"	"Arhgap30"
"6233"	"10351616"	"Usf1"
"6239"	"10351623"	"F11r"
"6251"	"10351636"	"Alyref2"
"6254"	"10351640"	"Gm9765"
"6257"	"10351644"	"Cd244"
"6270"	"10351658"	"Cd48"
"6276"	"10351665"	"---"
"6277"	"10351667"	"Slamf1"
"6288"	"10351679"	"Cd84"
"6296"	"10351689"	"Gm10521"
"6297"	"10351691"	"Slamf6"
"6308"	"10351703"	"Copa"
"6342"	"10351738"	"Pex19"
"6352"	"10351749"	"Dcaf8"
"6371"	"10351769"	"---"
"6382"	"10351781"	"Kcnj10"
"6388"	"10351788"	"Pigm"
"6391"	"10351792"	"Slamf9"
"6399"	"10351801"	"Igsf9"
"6422"	"10351825"	"Tagln2"
"6428"	"10351832"	"Cfap45"
"6438"	"10351843"	"Vsig8"
"6446"	"10351852"	"Crp"
"6450"	"10351857"	"Olfr16"
"6451"	"10351859"	"Olfr1407-ps1"
"6452"	"10351861"	"Olfr218"
"6453"	"10351863"	"Olfr1404"
"6454"	"10351865"	"Olfr418"
"6455"	"10351867"	"Aim2"
"6460"	"10351873"	"Pyhin1"
"6466"	"10351880"	"Pydc3"
"6469"	"10351884"	"Olfr433"
"6470"	"10351886"	"Olfr432"
"6471"	"10351888"	"Olfr430"
"6473"	"10351891"	"Olfr429"
"6474"	"10351893"	"---"
"6475"	"10351895"	"Olfr424"
"6476"	"10351897"	"Olfr258-ps1"
"6477"	"10351899"	"Olfr421-ps1"
"6480"	"10351903"	"Olfr420"
"6481"	"10351905"	"Spta1"
"6534"	"10351959"	"Mptx1"
"6535"	"10351961"	"Olfr417"
"6536"	"10351963"	"Olfr248"
"6537"	"10351966"	"Olfr414"
"6538"	"10351968"	"Olfr220"
"6540"	"10351971"	"Fmn2"
"6563"	"10352000"	"Kmo"
"6582"	"10352020"	"Wdr64"
"6609"	"10352048"	"Exo1"
"6624"	"10352064"	"Gm26104"
"6625"	"10352066"	"Sdccag8"
"6650"	"10352092"	"Zbtb18"
"6654"	"10352097"	"1700016C15Rik"
"6660"	"10352104"	"---"
"6665"	"10352110"	"Gm16432"
"6673"	"10352119"	"Desi2"
"6678"	"10352125"	"Desi2"
"6679"	"10352127"	"Cox20"
"6682"	"10352131"	"Gm24919"
"6683"	"10352133"	"Efcab2"
"6692"	"10352143"	"Kif26b"
"6698"	"10352150"	"Gm24405"
