"Gene"	"SN_1"	"SN_2"	"SN_3"	"SN_4"	"ON_1"	"ON_2"	"ON_3"	"ON_4"	"SPF_1"	"SPF_2"	"SPF_3"	"SPF_4"	"SPF_5"
"Gm10461"	0	0	0	0	1	1	0	24	18	141	141	56	106
"Yes1"	6	0	1	9	99	142	252	246	234	579	587	709	876
"Gm43694"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm43852"	0	18	0	0	0	5	0	0	20	22	31	58	22
"Gm2420"	0	6	8	4	0	0	1	8	3	2	8	4	5
"Pisd"	1312	1297	1383	1445	1155	1249	1465	1247	302	1097	898	1132	1017
"Gm20671"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm43695"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Prr14l"	142	115	157	319	126	250	74	209	388	558	722	559	757
"Gm43692"	15	3	3	0	0	15	0	0	66	40	24	8	6
"Gm2623"	0	0	0	1	0	0	0	2	16	0	0	1	0
"Depdc5"	204	61	158	100	141	189	145	165	181	118	260	264	280
"Gm24003"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm43693"	0	1	1	0	0	0	0	11	17	1	3	0	0
"Ywhah"	2324	1826	1708	2183	8528	7870	8796	6062	4522	12548	11526	13751	12108
"Gm43849"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rpl35a-ps5"	0	1	1	1	1	4	1	0	6	3	1	0	0
"Slc5a1"	0	0	0	4	0	0	0	0	0	0	0	0	0
"Gm15936"	0	0	0	0	0	0	0	0	0	0	0	0	0
"5033423K11Rik"	0	0	0	0	0	0	0	0	0	2	0	0	0
"Spon2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctbp1"	2464	1609	1512	1933	2697	2164	2779	2256	1009	2670	2144	2449	1899
"Gm43850"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm20465"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Maea"	1010	802	840	865	1205	1130	1111	1109	774	2012	2577	2565	2519
"Uvssa"	34	72	28	78	31	52	27	14	305	257	52	37	248
"Nkx1-1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm43851"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fam53a"	306	127	198	140	770	709	479	817	446	1334	951	928	842
"Gm9903"	0	0	9	0	0	0	0	0	0	0	38	16	11
